id,embedding_model,question,reference_answer,doc_ids,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,answer,is_acceptable
q8,hybrid,در خبر دیدار وزیر خارجه ونزوئلا با امیرعبداللهیان، گفته شد در سفر آتی نیکلاس مادورو به تهران چه سندی امضا می‌شود؟,سند همکاری ۲۰ ساله دو کشور,[150137],"[150137, 45458, 271260, 150137, 271260]","[18732, 70911, 46467, 18729, 46465]","[0.7200109362602234, 0.7191302180290222, 0.7190455198287964, 0.7021420001983643, 0.6831668615341187]",بر اساس اطلاعات موجود در متن‌های بازیابی‌شده، در سفر آتی نیکلاس مادورو به تهران، سند همکاری جامع بعنوان نقطه عطف در روابط دوجانبه امضا می‌شود.,True
q11,semantic,طبق گفته مدیرکل سیاسی استانداری سمنان، انتخابات ۱۴۰۰ در سمنان به چه شیوه‌ای برگزار می‌شود؟,به‌طور دستی,[27592],"[40774, 73703, 27592, 213404, 82489]","[59644, 34176, 25601, 20319, 70921]","[0.86418616771698, 0.8393570184707642, 0.838144063949585, 0.8380504846572876, 0.8301388621330261]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q11,lexical,طبق گفته مدیرکل سیاسی استانداری سمنان، انتخابات ۱۴۰۰ در سمنان به چه شیوه‌ای برگزار می‌شود؟,به‌طور دستی,[27592],"[13989, 13989, 82374, 73703, 1952]","[11272, 11274, 3763, 34176, 40000]","[0.7888889312744141, 0.7650263905525208, 0.7568132281303406, 0.7397605180740356, 0.7253053188323975]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q11,hybrid,طبق گفته مدیرکل سیاسی استانداری سمنان، انتخابات ۱۴۰۰ در سمنان به چه شیوه‌ای برگزار می‌شود؟,به‌طور دستی,[27592],"[73703, 67128, 82374, 67128, 27592]","[34176, 2427, 3763, 2426, 25599]","[0.7895587086677551, 0.7726287841796875, 0.7521238327026367, 0.720270037651062, 0.7064532041549683]",مدیرکل سیاسی استانداری سمنان، سیدعباس دانایی، اعلام کرده است که انتخابات ۱۴۰۰ در سمنان به‌صورت دستی برگزار می‌شود.,True
q15,semantic,احمد جباری تشکیل چه نوع دولتی را نیاز امروز کشور دانست؟,دولتی کارآمد، جهادی، میدانی و فسادستیز,[93932],"[103988, 88644, 88740, 71542, 72002]","[34358, 32742, 55954, 18002, 15289]","[0.8248773813247681, 0.8164737820625305, 0.8073172569274902, 0.8047001361846924, 0.797845721244812]",احمد جباری از دولتی که به جوانان انقلابی متخصص و متوجه باشد نیاز دارد را در امروز دانست.,True
q15,lexical,احمد جباری تشکیل چه نوع دولتی را نیاز امروز کشور دانست؟,دولتی کارآمد، جهادی، میدانی و فسادستیز,[93932],"[47792, 333677, 59245, 26052, 87455]","[10396, 52538, 18682, 54380, 37685]","[0.5191176533699036, 0.48970863223075867, 0.48842453956604004, 0.4824497699737549, 0.4796309471130371]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q15,hybrid,احمد جباری تشکیل چه نوع دولتی را نیاز امروز کشور دانست؟,دولتی کارآمد، جهادی، میدانی و فسادستیز,[93932],"[129874, 23760, 250514, 59245, 129874]","[58143, 38058, 16462, 18682, 58142]","[0.5969892144203186, 0.5786606073379517, 0.567729115486145, 0.5639585256576538, 0.5627239346504211]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q16,semantic,در پروژه شرکت داریک پارسیان در منطقه ویژه اقتصادی خلیج فارس، ظرفیت تولید کانتینر چقدر اعلام شد؟,۲۵ هزار TEU کانتینر,[272390],"[6288, 161037, 155730, 197346, 232915]","[32489, 39218, 61425, 9667, 68508]","[0.788148820400238, 0.751929521560669, 0.7470306158065796, 0.7469058632850647, 0.7447867393493652]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q16,lexical,در پروژه شرکت داریک پارسیان در منطقه ویژه اقتصادی خلیج فارس، ظرفیت تولید کانتینر چقدر اعلام شد؟,۲۵ هزار TEU کانتینر,[272390],"[272390, 334984, 71484, 71484, 169858]","[45846, 31871, 8617, 8618, 6382]","[0.6084331274032593, 0.577738881111145, 0.5704853534698486, 0.5584560036659241, 0.558347225189209]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q16,hybrid,در پروژه شرکت داریک پارسیان در منطقه ویژه اقتصادی خلیج فارس، ظرفیت تولید کانتینر چقدر اعلام شد؟,۲۵ هزار TEU کانتینر,[272390],"[272390, 155730, 173721, 101828, 186694]","[45846, 61425, 1749, 35204, 40755]","[0.6628566980361938, 0.599284291267395, 0.595538854598999, 0.595085620880127, 0.5893688201904297]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q18,semantic,طبق تفاهم واگذاری زمین به ایثارگران خراسان شمالی، در فاز اول به شهرستان اسفراین چند قطعه زمین واگذار می‌شود؟,۱۰۵ قطعه,[233586],"[104669, 314429, 164072, 299601, 19477]","[51478, 43368, 44558, 33296, 64049]","[0.8801218271255493, 0.8792093992233276, 0.8737231492996216, 0.8689436912536621, 0.8623173236846924]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q18,lexical,طبق تفاهم واگذاری زمین به ایثارگران خراسان شمالی، در فاز اول به شهرستان اسفراین چند قطعه زمین واگذار می‌شود؟,۱۰۵ قطعه,[233586],"[233586, 73819, 233586, 233586, 249404]","[60439, 3924, 60440, 60441, 59654]","[0.7166099548339844, 0.6989376544952393, 0.6006428003311157, 0.5979143381118774, 0.5869050621986389]",در فاز اول به شهرستان اسفراین ۱۰۵ قطعه زمین واگذار می‌شود.,True
q18,hybrid,طبق تفاهم واگذاری زمین به ایثارگران خراسان شمالی، در فاز اول به شهرستان اسفراین چند قطعه زمین واگذار می‌شود؟,۱۰۵ قطعه,[233586],"[104669, 135379, 233586, 218155, 249404]","[51475, 36496, 60439, 16974, 59654]","[0.6323803067207336, 0.6267280578613281, 0.6241094470024109, 0.5986967086791992, 0.5714977979660034]",بر اساس اطلاعاتی که در متن‌های بازیابی‌شده وجود دارد، در فاز اول به شهرستان اسفراین ۷ قطعه زمین واگذار می‌شود.,False
q19,semantic,در خبر تعطیلی آرامستان‌ها در قم، گفته شد این تعطیلی فقط مربوط به شهر قم است یا کل استان را شامل می‌شود؟,همه استان را شامل می‌شود,[42364],"[86971, 168011, 42364, 211889, 328043]","[29589, 14374, 20878, 12090, 31748]","[0.7399146556854248, 0.7289638519287109, 0.7193662524223328, 0.719142735004425, 0.71600741147995]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q19,lexical,در خبر تعطیلی آرامستان‌ها در قم، گفته شد این تعطیلی فقط مربوط به شهر قم است یا کل استان را شامل می‌شود؟,همه استان را شامل می‌شود,[42364],"[154481, 154481, 60394, 222370, 164072]","[32608, 32609, 14549, 30029, 44558]","[0.7839876413345337, 0.7612488269805908, 0.7378888130187988, 0.7242690324783325, 0.7157958745956421]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q19,hybrid,در خبر تعطیلی آرامستان‌ها در قم، گفته شد این تعطیلی فقط مربوط به شهر قم است یا کل استان را شامل می‌شود؟,همه استان را شامل می‌شود,[42364],"[86971, 154481, 168011, 154481, 328043]","[29589, 32608, 14374, 32609, 31748]","[0.7265580892562866, 0.7260280847549438, 0.7072348594665527, 0.7064282894134521, 0.6853466033935547]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q21,semantic,جولیان سندز بازیگر بریتانیایی در کدام کوه‌های آمریکا ناپدید شد؟,کوه‌های سن گابریل کالیفرنیا,[191339],"[191339, 191339, 100578, 191339, 2155]","[31604, 31606, 7757, 31605, 8214]","[0.8816593885421753, 0.5451245307922363, 0.5400089025497437, 0.5327351093292236, 0.5244274735450745]",جولیان سندز ناپدید شد در کوه‌های سن گابریل کالیفرنیا.,True
q21,lexical,جولیان سندز بازیگر بریتانیایی در کدام کوه‌های آمریکا ناپدید شد؟,کوه‌های سن گابریل کالیفرنیا,[191339],"[11802, 107148, 27635, 168683, 26388]","[18060, 63353, 46010, 47088, 12138]","[0.6820664405822754, 0.6789848804473877, 0.6780214309692383, 0.6718637943267822, 0.653814971446991]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q21,hybrid,جولیان سندز بازیگر بریتانیایی در کدام کوه‌های آمریکا ناپدید شد؟,کوه‌های سن گابریل کالیفرنیا,[191339],"[191339, 27635, 236535, 11802, 26388]","[31604, 46010, 58639, 18060, 12138]","[0.5945409536361694, 0.4342685341835022, 0.4310652017593384, 0.41285741329193115, 0.4024379253387451]",جولیان سندز ناپدید شد در کوه‌های سن گابریل کالیفرنیا.,True
q23,semantic,جو بایدن حمله به ساختمان کنگره آمریکا را چه نوع بحرانی برای دموکراسی این کشور خواند؟,بحران وجودی,[100480],"[100480, 168479, 26039, 168479, 101112]","[37806, 63942, 27244, 63940, 21604]","[0.862265944480896, 0.7486855983734131, 0.7251900434494019, 0.7202908992767334, 0.7159548401832581]",جو بایدن حمله به ساختمان کنگره را بحرانی وجودی و آزمونی برای توان بقای دموکراسی آمریکا خواند.,True
q23,lexical,جو بایدن حمله به ساختمان کنگره آمریکا را چه نوع بحرانی برای دموکراسی این کشور خواند؟,بحران وجودی,[100480],"[291613, 168479, 9373, 168479, 4533]","[2934, 63941, 7024, 63938, 70997]","[0.8198213577270508, 0.7810164093971252, 0.7790588140487671, 0.7663698196411133, 0.7541671395301819]",جو بایدن، حمله به ساختمان کنگره آمریکا را بحرانی افراطی و خشونت‌آمیز برای دموکراسی آمریکا خواند.,True
q23,hybrid,جو بایدن حمله به ساختمان کنگره آمریکا را چه نوع بحرانی برای دموکراسی این کشور خواند؟,بحران وجودی,[100480],"[100480, 291613, 168479, 168479, 168479]","[37806, 2934, 63942, 63941, 63938]","[0.792715847492218, 0.7649575471878052, 0.7505359649658203, 0.7477073073387146, 0.7164075374603271]","جو بایدن رئیس جمهور آمریکا، حمله به ساختمان کنگره را به عنوان ""بحران وجودی"" برای دموکراسی این کشور دریافت کرد.",True
q24,semantic,در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار غیرقانونی محصورکننده با چه متراژی تخریب شد؟,دو هزار متر,[230378],"[230378, 10076, 178138, 17094, 130725]","[67896, 44430, 46728, 22236, 35723]","[0.7131519317626953, 0.6627817153930664, 0.6551852822303772, 0.6440342664718628, 0.6314535737037659]",در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار غیرقانونی با متراژ ۲ هزار متر مربع تخریب شد.,True
q24,lexical,در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار غیرقانونی محصورکننده با چه متراژی تخریب شد؟,دو هزار متر,[230378],"[51276, 141783, 323402, 233672, 240597]","[20065, 67089, 29725, 63560, 34834]","[0.6662782430648804, 0.6357640027999878, 0.6281018257141113, 0.6264474987983704, 0.6263341903686523]",بر اساس اطلاعات موجود در متن‌های بازیابی‌شده، در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار‌های غیرقانونی با ۹۰ هکتار متراژی تخریب شده‌اند.,False
q24,hybrid,در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار غیرقانونی محصورکننده با چه متراژی تخریب شد؟,دو هزار متر,[230378],"[230378, 178138, 10076, 240597, 141783]","[67896, 46728, 44430, 34834, 67089]","[0.6326010227203369, 0.6245095729827881, 0.62349933385849, 0.6176111698150635, 0.5910522937774658]",در عملیات آزادسازی اراضی ملی و جنگلی چالوس، دیوار غیرقانونی با متراژ دو هزار متر مربع تخریب شد.,True
q26,semantic,رسول خطیبی گفت بارزترین اشتباه داوری علیه آلومینیوم در کدام بازی رخ داد؟,بازی هفته گذشته مقابل استقلال,[4842],"[102118, 68806, 138925, 270187, 268928]","[61395, 62256, 69841, 15004, 12039]","[0.7006690502166748, 0.6934317350387573, 0.6764553785324097, 0.6725472807884216, 0.6696505546569824]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q26,lexical,رسول خطیبی گفت بارزترین اشتباه داوری علیه آلومینیوم در کدام بازی رخ داد؟,بازی هفته گذشته مقابل استقلال,[4842],"[322476, 217946, 15340, 337868, 230261]","[42500, 15613, 3509, 52234, 14568]","[0.781859278678894, 0.7532901167869568, 0.7464617490768433, 0.7290244102478027, 0.7121099233627319]",اطلاعات کافی در متن‌های بازیابی‌شده نیست.,False
q26,hybrid,رسول خطیبی گفت بارزترین اشتباه داوری علیه آلومینیوم در کدام بازی رخ داد؟,بازی هفته گذشته مقابل استقلال,[4842],"[15340, 230261, 322476, 74484, 305364]","[3509, 14568, 42500, 67415, 11076]","[0.6826285123825073, 0.6786869764328003, 0.6770846843719482, 0.670465350151062, 0.6427143812179565]",بر اساس اطلاعات موجود در متن‌های بازیابی‌شده، رسول خطیبی گفت بارزترین اشتباه داوری علیه آلومینیوم در بازی مقابل آلومینیوم بود.,False
q29,semantic,در جلسه شورای فرهنگ عمومی بناب، از عدم پرداخت چه میزان از بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد؟,نیم درصد بودجه شهرداری,[164621],"[164621, 158813, 158813, 266091, 180988]","[44051, 48940, 48939, 32452, 36409]","[0.757488489151001, 0.6823244690895081, 0.6815294027328491, 0.6661393046379089, 0.6574537754058838]",از نیم درصد بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد. این انتقاد توسط نایب رئیس شورای فرهنگ عمومی شهرستان بناب ارائه شد.,True
q29,lexical,در جلسه شورای فرهنگ عمومی بناب، از عدم پرداخت چه میزان از بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد؟,نیم درصد بودجه شهرداری,[164621],"[164621, 44392, 215921, 245029, 151903]","[44051, 56646, 64459, 1994, 12303]","[0.8367571234703064, 0.7737985253334045, 0.7734610438346863, 0.7727657556533813, 0.7676492929458618]",مبلغ نیم درصد بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد. این انتقاد از نایب رئیس شورای فرهنگ عمومی شهرستان بناب در جلسه شورای فرهنگ عمومی شهرستان بناب گفت شد.,True
q29,hybrid,در جلسه شورای فرهنگ عمومی بناب، از عدم پرداخت چه میزان از بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد؟,نیم درصد بودجه شهرداری,[164621],"[164621, 82898, 164621, 300160, 180988]","[44051, 17365, 44052, 47828, 36410]","[0.7971228361129761, 0.6957969665527344, 0.6874308586120605, 0.6867153644561768, 0.6845536828041077]",از نیم درصد بودجه شهرداری به کتابخانه‌های عمومی انتقاد شد.,True
